OBJECTID,SciName,ComName,TaxonGroup,ElmCode,FedList,CalList,GRank,SRank,RPlantRank,OthrStatus,OccNumber,EOndx,Mapndx,ElmDate,SiteDate,Sensitive,OccRank,Presence,Accuracy,AccuracyOrder,Trend,OccType,County,Quad,Elevation,Latitude,Longitude,UTM,PLSS,Location,LocDetails,Ecological,ThreatList,Threat,General_,OwnerMgt,LastUpdate,KeyQuad,UTMZone,UTME,UTMN
48,Calochortus palmeri var. palmeri,Palmer's mariposa-lily,Monocots,PMLIL0D122,None,None,G3T2,S2,1B.2,BLM_S-Sensitive | SB_RSABG-Rancho Santa Ana Botanic Garden | SB_SBBG-Santa Barbara Botanic Garden | USFS_S-Sensitive,91,95612,94525,19810531,19810531,N,U-Unknown,Presumed Extant,Non-specific bounded area,30,Unknown,Natural/Native occurrence,Santa Barbara,Carpinteria (3411945),2500,34.47386,-119.56677,Zone-11 N3817689 E264260,"T05N, R26W, Sec. 35, E (S)","ESCONDIDO CANYON, ABOUT 3.5 MILES WEST OF JUNCAL DAM, SANTA YNEZ MOUNTAINS.",EXACT LOCATION UNKNOWN; MAPPED AS BEST GUESS ALONG THE LENGTH OF ESCONDIDO CANYON.,ON SANDY SLOPES AMONG SANDSTONE BOULDERS IN CHAPARRAL.,,,"""RARE"" IN 1981. ONLY SOURCE OF INFORMATION FOR THIS SITE IS A 1981 BLAKLEY COLLECTION.",USFS-LOS PADRES NF,11/24/2014 12:00:00 AM,Carpinteria (3411945),11,264260,3817689
49,Fritillaria ojaiensis,Ojai fritillary,Monocots,PMLIL0V0N0,None,None,G3,S3,1B.2,BLM_S-Sensitive | SB_SBBG-Santa Barbara Botanic Garden | USFS_S-Sensitive,18,97023,95884,19960308,19960308,N,U-Unknown,Presumed Extant,Circular feature with a 1300 meter radius (4/5 mile),80,Unknown,Natural/Native occurrence,Santa Barbara | Ventura,White Ledge Peak (3411944),1750,34.42904,-119.4316,Zone-11 N3812410 E276557,"T04N, R24W, Sec. 18 (S)","SANTA YNEZ MOUNTAINS: LANDSLIDE AREA, CATHARINA CREEK TRIBUTARY.",EXACT LOCATION UNKNOWN. MAPPED AS BEST GUESS BY CNDDB AROUND CATHARINA CREEK AND TRIBUTARIES.,"CHAPARRAL, SILTY LOAM, NE-FACING SLOPE, PARTIAL SHADE.",,,ONLY SOURCE OF INFORMATION FOR THIS OCCURRENCE IS A 1996 BURGESS COLLECTION. NEEDS FIELDWORK.,USFS-LOS PADRES NF?,4/13/2015 12:00:00 AM,White Ledge Peak (3411944),11,276557,3812410
50,Fritillaria ojaiensis,Ojai fritillary,Monocots,PMLIL0V0N0,None,None,G3,S3,1B.2,BLM_S-Sensitive | SB_SBBG-Santa Barbara Botanic Garden | USFS_S-Sensitive,19,97024,80240,,,N,U-Unknown,Presumed Extant,Circular feature with a 600 meter radius (2/5 mile),60,Unknown,Natural/Native occurrence,Santa Barbara,Carpinteria (3411945),,34.49243,-119.50793,Zone-11 N3819613 E269716,"T05N, R25W, Sec. 28 (S)",JUNCAL DAM.,EXACT LOCATION UNKNOWN. MAPPED AS BEST GUESS BY CNDDB IN GENERAL VICINITY OF JUNCAL DAM.,,,,MAIN SOURCE OF INFORMATION FOR THIS OCCURRENCE IS A BRIEF SITE DESCRIPTION IN A USFS BIODIVERSITY STATUS REPORT. AN UNDATED BARTHOLOMEW COLLECTION FROM JUNCAL IS ALSO ATTRIBUTED TO THIS SITE. NEEDS FIELDWORK.,UNKNOWN,4/14/2015 12:00:00 AM,Carpinteria (3411945),11,269716,3819613
51,Fritillaria ojaiensis,Ojai fritillary,Monocots,PMLIL0V0N0,None,None,G3,S3,1B.2,BLM_S-Sensitive | SB_SBBG-Santa Barbara Botanic Garden | USFS_S-Sensitive,20,97026,95885,20110319,20110319,N,B-Good,Presumed Extant,Specific bounded area,20,Unknown,Natural/Native occurrence,Santa Barbara,Carpinteria (3411945),2935,34.47832,-119.5913,Zone-11 N3818241 E262020,"T05N, R26W, Sec. 34, NE (S)","SOUTH SIDE OF MURIETTA JUNCAL ROAD ON THE SOUTH SIDE OF BLUE CANYON, ~0.25 TO 0.5 AIR MILE NE OF ROMERO SADDLE.","MAPPED AS 2 POLYGONS, IN THE NW 1/4 OF THE NE 1/4 OF SECTION 34 AND THE SW 1/4 OF THE SE 1/4 OF SECTION 27.",NORTH-FACING SLOPE ON ROAD EDGE.,Wood cutting or brush clearing,ROADSIDE MOWING; FLAGGED AND AVOIDED DURING LPNF ROADSIDE BRUSHING PROJECT.,"IN 2011, 10 PLANTS IN W POLYGON AND UNKNOWN NUMBER IN E POLYGON. PREVIOUSLY IDENTIFIED AT THIS SITE BY VALERIE HUBBARTT, OBSERVATION DATE UNKNOWN. 1966 ALLEN COLLECTION FROM ""BLUE CYN, UPPER PART OF JUNCAL ROAD"" IS ALSO ATTRIBUTED HERE.","USFS-LOS PADRES NF, CITY OF SB",12/21/2017 12:00:00 AM,Carpinteria (3411945),11,262020,3818241
52,Fritillaria ojaiensis,Ojai fritillary,Monocots,PMLIL0V0N0,None,None,G3,S3,1B.2,BLM_S-Sensitive | SB_SBBG-Santa Barbara Botanic Garden | USFS_S-Sensitive,21,97027,95886,20110329,20110329,N,B-Good,Presumed Extant,Specific bounded area,20,Unknown,Natural/Native occurrence,Santa Barbara,Santa Barbara (3411946),2500,34.49775,-119.67218,Zone-11 N3820590 E254646,"T05N, R27W, Sec. 23, SE (S)","GIBRALTAR ROAD, UPPER DEVILS CANYON, ABOUT 1.5 AIR MILES EAST OF ANGOSTURA PASS.",MAPPED IN THE NE 1/4 OF THE SE 1/4 OF SECTION 23.,ROADSIDE SLOPE.,Road/trail construction/maint. | Wood cutting or brush clearing,ROADSIDE MOWING; FLAGGED AND AVOIDED DURING LPNF ROADSIDE BRUSHING PROJECT.,UNKNOWN NUMBER OF PLANTS OBSERVED IN 2011. IDENTIFICATION IS UNCERTAIN BECAUSE NO FLOWERS WERE PRESENT AND THERE ARE OTHER SPECIES IN THE AREA WITH SIMILAR LEAVES; ID CONFIRMATION NEEDED.,USFS-LOS PADRES NF,7/9/2015 12:00:00 AM,Santa Barbara (3411946),11,254646,3820590
53,Scrophularia atrata,black-flowered figwort,Dicots,PDSCR1S010,None,None,G2?,S2?,1B.2,SB_RSABG-Rancho Santa Ana Botanic Garden,67,104504,,19240519,19240519,N,U-Unknown,Presumed Extant,Circular feature with a 1000 meter radius (3/5 mile),70,Unknown,Natural/Native occurrence,Santa Barbara,Santa Barbara (3411946),,34.44646,-119.70222,Zone-11 N3814973 E251736,"T04N, R27W, Sec. 10 (S)","BACK OF EL ENCANTO, SANTA BARBARA.",EXACT LOCATION UNKNOWN. MAPPED AS BEST GUESS BY CNDDB IN THE GENERAL VICINITY NORTH OF THE EL ENCANTO HOTEL.,2ND N SLOPE.,,,ONLY SOURCE OF INFORMATION FOR THIS SITE IS A 1924 RICE COLLECTION. IDENTIFICATION OF SPECIMEN SHOULD BE CHECKED; OCCURRENCES EAST OF GAVIOTA MAY BE S. CALIFORNICA OR HYBRIDS. NEEDS FIELDWORK.,UNKNOWN,12/7/2016 12:00:00 AM,Santa Barbara (3411946),11,251736,3814973
54,Chloropyron maritimum ssp. maritimum,salt marsh bird's-beak,Dicots,PDSCR0J0C2,Endangered,Endangered,G4?T1,S1,1B.2,SB_CRES-San Diego Zoo CRES Native Gene Seed Bank | SB_RSABG-Rancho Santa Ana Botanic Garden | SB_SBBG-Santa Barbara Botanic Garden,51,106383,,20180705,20180705,N,C-Fair,Presumed Extant,Specific bounded area,20,Decreasing,Introduced Back into Native Hab./Range,Santa Barbara,Carpinteria (3411945),15,34.39786,-119.52749,Zone-11 N3809167 E267658,"T04N, R25W, Sec. 29, SW (S)",CARPINTERIA MARSH JUST NORTH OF ASH AVENUE.,"MAPPED AS 2 POLYGONS ACCORDING TO 2013 MEYER MAP, 2017 SBBG COORDINATES, AND INATURALIST COORDINATES. SW POLYGON IS AN INTRODUCED POPULATION; UNKNOWN IF NE POLYGON IS INTRODUCED OR NATURAL.","JUST NORTH OF A THICKET OF SALIX EXIGUA (THESE PLANTS SEEN IN 2013 BUT NOT 2014), ON OUTER EDGE OF HIGH MARSH TERRACE ADJOINING TIDAL SALT MARSH, AND WITHIN A METER OF A LARGE ""ROCK."" IN ARTHROCNEMUM SUBTERMINALE ALLIANCE.",Altered flood/tidal/hydrologic regime | Other | Foot traffic/trampling,"TRAMPLING, CHANGES IN HYDROLOGY, DROUGHT REDUCING GERMINATION, RISING SEA LEVEL, CLIMATE CHANGE.","SW POLYGON: INTRODUCED AROUND 2001. IN 2013, MEYER REPORTS A MORE EXTENSIVE BAND OF PLANTS WAS PRESENT IN 2002-2003. 75 IN 2013, 26 IN 2014, SEEN IN 2017, 12 BLOOMS IN 2018. NE POLYGON: 40 PLANTS IN 2017, UNKNOWN IF INTRODUCED OR NATURAL.",CITY OF CARPINTERIA,5/29/2019 12:00:00 AM,Carpinteria (3411945),11,267658,3809167
55,Lonicera subspicata var. subspicata,Santa Barbara honeysuckle,Dicots,PDCPR030R3,None,None,G5T2?,S2?,1B.2,USFS_S-Sensitive,27,108781,,20140528,20140528,N,U-Unknown,Presumed Extant,Specific bounded area,20,Unknown,Natural/Native occurrence,Santa Barbara,White Ledge Peak (3411944) | Carpinteria (3411945),1540,34.43501,-119.50071,Zone-11 N3813228 E270222,"T04N, R25W, Sec. 16, N (S)","ALONG ROADS NEAR LOWER SUTTON CANYON, NORTH OF CARPINTERIA.",MAPPED AS SEVERAL POLYGONS ACCORDING TO 2012 BIORESOURCE CONSULTANTS INC MAP AND COORDINATES.,,Road/trail construction/maint.,POSSIBLY THREATENED BY GRADING OF ACCESS ROADS AND TOWER PADS IN RELATION TO SCE SUBTRANSMISSION FACILITIY.,UNKNOWN NUMBER OF PLANTS OBSERVED IN 2012 AND 2014.,UNKNOWN,11/7/2017 12:00:00 AM,White Ledge Peak (3411944),11,270222,3813228
56,Lonicera subspicata var. subspicata,Santa Barbara honeysuckle,Dicots,PDCPR030R3,None,None,G5T2?,S2?,1B.2,USFS_S-Sensitive,33,108863,,,,N,U-Unknown,Presumed Extant,Specific bounded area,20,Unknown,Natural/Native occurrence,Santa Barbara,White Ledge Peak (3411944),1130,34.42231,-119.47771,Zone-11 N3811767 E272301,"T04N, R25W, Sec. 14, SW (S)","ABOUT 0.25 AIR MILE SW OF THE CONFLUENCE OF GOBERNADOR CREEK AND ELDORADO CREEK, SE OF SNOWBALL MTN, NE OF CARPINTERIA.","MAPPED ACCORDING TO 2012 BIORESOURCE CONSULTANTS, INC COORDINATES, ON THE SECTION LINE BETWEEN THE SW 1/4 OF THE SW 1/4 OF SECTION 14 AND THE SE 1/4 OF THE SE 1/4 OF SECTION 15.",,Road/trail construction/maint.,POSSIBLY THREATENED BY GRADING OF ACCESS ROADS AND TOWER PADS IN RELATION TO SCE SUBTRANSMISSION FACILITIY.,UNKNOWN NUMBER OF PLANTS OBSERVED IN 2012.,UNKNOWN,11/7/2017 12:00:00 AM,White Ledge Peak (3411944),11,272301,3811767
57,Fritillaria ojaiensis,Ojai fritillary,Monocots,PMLIL0V0N0,None,None,G3,S3,1B.2,BLM_S-Sensitive | SB_SBBG-Santa Barbara Botanic Garden | USFS_S-Sensitive,40,109497,,20160426,20160426,N,U-Unknown,Presumed Extant,Specific bounded area,20,Unknown,Natural/Native occurrence,Santa Barbara,Carpinteria (3411945),1930,34.48811,-119.57468,Zone-11 N3819287 E263574,"T05N, R26W, Sec. 26, N (S)","ALONG UPPER BLUE CANYON TRAIL, ABOUT 1 TO 1.2 AIR MILES WEST OF BLUE CANYON PASS, LOS PADRES NATIONAL FOREST.","MAPPED AS 2 POLYGONS ACCORDING TO 2016 WILLIAMS COORDINATES, IN THE NORTH 1/2 OF SECTION 26.",STREAM BANK/BED.,,,"IN 2016, EASTERN POLYGON HAD FEWER THAN 10 PLANTS AND WESTERN POLYGON HAD ""3 PLANTS IN FLOWER, 10 WITH SEED PODS.""",USFS-LOS PADRES NF,12/21/2017 12:00:00 AM,Carpinteria (3411945),11,263574,3819287
58,Fritillaria ojaiensis,Ojai fritillary,Monocots,PMLIL0V0N0,None,None,G3,S3,1B.2,BLM_S-Sensitive | SB_SBBG-Santa Barbara Botanic Garden | USFS_S-Sensitive,42,109498,,20160322,20160322,N,U-Unknown,Presumed Extant,Specific bounded area,20,Unknown,Natural/Native occurrence,Santa Barbara,Carpinteria (3411945),1700,34.49159,-119.59309,Zone-11 N3819718 E261893,"T05N, R26W, Sec. 27, N (S)","ALONG UPPER BLUE CANYON TRAIL, ABOUT 1.8 TO 2.1 AIR MILES WEST OF BLUE CANYON PASS, LOS PADRES NATIONAL FOREST.","MAPPED AS 2 POLYGONS ACCORDING TO 2016 WILLIAMS COORDINATES, IN THE NORTH 1/2 OF SECTION 27.",STREAM BANK/BED.,,,"IN 2016, WESTERN POLYGON HAD FEWER THAN 50 PLANTS AND EASTERN POLYGON HAD 3 PLANTS IN FLOWER, 1 PLANT WITH BUDS AND 58 BASAL-LEAVES.",USFS-LOS PADRES NF,12/21/2017 12:00:00 AM,Carpinteria (3411945),11,261893,3819718
59,Fritillaria ojaiensis,Ojai fritillary,Monocots,PMLIL0V0N0,None,None,G3,S3,1B.2,BLM_S-Sensitive | SB_SBBG-Santa Barbara Botanic Garden | USFS_S-Sensitive,43,109499,,20160426,20160426,N,U-Unknown,Presumed Extant,Specific bounded area with an 80 meter radius,10,Unknown,Natural/Native occurrence,Santa Barbara,Carpinteria (3411945),1550,34.4978,-119.61105,Zone-11 N3820448 E260261,"T05N, R26W, Sec. 21, S (S)","ON BLUE CANYON TRAIL, ABOUT 150 METERS NORTH OF COTTAM CAMPSITE, JUST EAST OF THE MOUTH OF FORBUSH CYN, LOS PADRES NF.","PATCH STRETCHES ~30 METERS ALONG TRAIL. MAPPED ACCORDING TO 2016 WILLIAMS COORDINATES, IN THE SOUTH 1/2 OF SECTION 21.",CHAMISE SCRUB.,,,SEED PODS FIRST NOTICED HERE IN 2015. FEWER THAN 50 PLANTS OBSERVED IN 2016.,USFS-LOS PADRES NF,12/26/2017 12:00:00 AM,Carpinteria (3411945),11,260261,3820448
60,Fritillaria ojaiensis,Ojai fritillary,Monocots,PMLIL0V0N0,None,None,G3,S3,1B.2,BLM_S-Sensitive | SB_SBBG-Santa Barbara Botanic Garden | USFS_S-Sensitive,44,109501,,20170124,20170124,N,U-Unknown,Presumed Extant,Specific bounded area,20,Unknown,Natural/Native occurrence,Santa Barbara,Little Pine Mtn. (3411956),1900,34.50379,-119.63451,Zone-11 N3821169 E258124,"T05N, R26W, Sec. 20, NW (S)","COLD SPRING TRAIL, BETWEEN FORBUSH AND GIBRALTAR TRAILS, LOS PADRES NATIONAL FOREST.",MAPPED AS 2 POLYGONS ACCORDING TO 2016 AND 2017 WILLIAMS COORDINATES.,IN BIG LEAF MAPLE/BAY LAUREL/COTTONWOOD WOODLAND.,,,SEEDPODS FOUND HERE IN 2010. BLOOMS SEEN EVERY SPRING 2011-2016. FEWER THAN 70 PLANTS OBSERVED IN 2016. 58+ PLANTS OBSERVED IN 2017.,USFS-LOS PADRES NF,12/21/2017 12:00:00 AM,Little Pine Mtn. (3411956),11,258124,3821169
61,Fritillaria ojaiensis,Ojai fritillary,Monocots,PMLIL0V0N0,None,None,G3,S3,1B.2,BLM_S-Sensitive | SB_SBBG-Santa Barbara Botanic Garden | USFS_S-Sensitive,45,109503,,20160407,20160407,N,U-Unknown,Presumed Extant,Specific bounded area with an 80 meter radius,10,Unknown,Natural/Native occurrence,Santa Barbara,Little Pine Mtn. (3411956),1830,34.51359,-119.64171,Zone-11 N3822273 E257491,"T05N, R26W, Sec. 18, SE (S)","ON GIBRALTAR TRAIL, ABOUT 1.1 AIR MILES SE OF GIBRALTAR MINE, SOUTH OF THE EAST END OF GIBRALTAR RESERVOIR.","MAPPED ACCORDING TO 2016 WILLIAMS COORDINATES, IN THE NE 1/4 OF THE SE 1/4 OF SECTION 18.",IN A DRY STREAM GULLY.,,,FEWER THAN 10 PLANTS OBSERVED IN 2016.,USFS-LOS PADRES NF,12/21/2017 12:00:00 AM,Little Pine Mtn. (3411956),11,257491,3822273
62,Fritillaria ojaiensis,Ojai fritillary,Monocots,PMLIL0V0N0,None,None,G3,S3,1B.2,BLM_S-Sensitive | SB_SBBG-Santa Barbara Botanic Garden | USFS_S-Sensitive,47,109506,,20160512,20160512,N,U-Unknown,Presumed Extant,Specific bounded area with an 80 meter radius,10,Unknown,Natural/Native occurrence,Santa Barbara,Santa Barbara (3411946),2630,34.49689,-119.68052,Zone-11 N3820515 E253878,"T05N, R27W, Sec. 23, SW (S)","GIBRALTAR ROAD ABOUT 1 AIR MILE EAST OF ANGOSTURA PASS, SANTA YNEZ MOUNTAINS.","AT A STREAM CROSSING. MAPPED ACCORDING TO 2016 WILLIAMS COORDINATES, IN THE SE 1/4 OF THE SW 1/4 OF SECTION 23.",STREAM CROSSING.,,,1+ PLANTS OBSERVED IN 2016.,CITY OF SANTA BARBARA,12/21/2017 12:00:00 AM,Santa Barbara (3411946),11,253878,3820515
63,Fritillaria ojaiensis,Ojai fritillary,Monocots,PMLIL0V0N0,None,None,G3,S3,1B.2,BLM_S-Sensitive | SB_SBBG-Santa Barbara Botanic Garden | USFS_S-Sensitive,50,109517,,20110319,20110319,N,U-Unknown,Presumed Extant,Specific bounded area,20,Unknown,Natural/Native occurrence,Santa Barbara,Carpinteria (3411945),2700,34.48121,-119.58132,Zone-11 N3818539 E262944,"T05N, R26W, Sec. 26, SW (S)","MURIETTA JUNCAL ROAD ON THE SOUTH SIDE OF BLUE CANYON, ABOUT 0.9 AIR MILE NE OF ROMERO SADDLE.",MAPPED AS 2 POLYGONS ACCORDING TO USFS DIGITAL DATA. IN THE SW 1/4 OF THE SW 1/4 OF SECTION 26.,,,,UNKNOWN NUMBER OF PLANTS OBSERVED IN 2011.,USFS-LOS PADRES NF,12/21/2017 12:00:00 AM,Carpinteria (3411945),11,262944,3818539
64,Quercus dumosa,Nuttall's scrub oak,Dicots,PDFAG050D0,None,None,G3,S3,1B.1,USFS_S-Sensitive,189,113472,,,,N,U-Unknown,Presumed Extant,Specific bounded area with an 80 meter radius,10,Unknown,Natural/Native occurrence,Santa Barbara,White Ledge Peak (3411944),690,34.41484,-119.4726,Zone-11 N3810926 E272751,"T04N, R25W, Sec. 23, NW (S)","EAST SIDE OF CARPENTERIA CREEK, ABOUT 1.2 AIR MILES SSE OF THE SUMMIT OF SNOWBALL MOUNTAIN, NE OF CARPENTERIA.","MAPPED ACCORDING TO A 2000 MAP FROM BIORESOURCE CONSULTANTS, IN THE SOUTH 1/2 OF THE NW 1/4 OF SECTION 23.",,Development,POTENTIAL IMPACT FROM TOWER CONSTRUCTION ACTIVITIES.,UNKNOWN NUMBER OF PLANTS SEEN DURING 1999 SURVEYS.,UNKNOWN,12/6/2018 12:00:00 AM,White Ledge Peak (3411944),11,272751,3810926
65,Quercus dumosa,Nuttall's scrub oak,Dicots,PDFAG050D0,None,None,G3,S3,1B.1,USFS_S-Sensitive,190,113473,,,,N,U-Unknown,Presumed Extant,Specific bounded area,20,Unknown,Natural/Native occurrence,Santa Barbara,White Ledge Peak (3411944),1125,34.42231,-119.47804,Zone-11 N3811768 E272272,"T04N, R25W, Sec. 15, SE (S)","SOUTHEAST RIDGE OF SNOWBALL MOUNTAIN, ABOUT 0.5-0.6 AIR MILE SOUTHEAST OF SUMMIT, NORTHEAST OF CARPENTERIA.",MAPPED ACCORDING TO BIORESOURCE CONSULTANTS MAPS FROM 2000 AND 2012. ON THE BORDER BETWEEN THE SW 1/4 OF THE SW 1/4 OF SECTION 14 AND THE SE 1/4 OF SE 1/4 OF SECTION 15.,SCRUB OAK WOODLAND.,Development,POTENTIAL IMPACT FROM TOWER CONSTRUCTION ACTIVITIES.,UNKNOWN NUMBER OF PLANTS SEEN IN 1999 AND DURING SURVEYS SOMETIME PRIOR TO 2012. POPULATION MAY INCLUDE HYBRIDS.,UNKNOWN,12/6/2018 12:00:00 AM,White Ledge Peak (3411944),11,272272,3811768
66,Quercus dumosa,Nuttall's scrub oak,Dicots,PDFAG050D0,None,None,G3,S3,1B.1,USFS_S-Sensitive,191,113474,,,,N,U-Unknown,Presumed Extant,Specific bounded area,20,Unknown,Natural/Native occurrence,Santa Barbara,White Ledge Peak (3411944) | Carpinteria (3411945),1200,34.42682,-119.49922,Zone-11 N3812315 E270337,"T04N, R25W, Sec. 16 (S)","BOTH SIDES OF SUTTON CANYON; FROM 1.3 AIR MI WNW TO 0.7 AIR MI SSW OF SUMMIT OF SNOWBALL MOUNTAIN, NE OF CARPENTERIA.",MAPPED AS 9 POLYGONS ACCORDING TO BIORESOURCE CONSULTANTS MAPS FROM 2000 AND 2012.,SCRUB OAK WOODLAND.,Development,POTENTIAL IMPACT FROM TOWER CONSTRUCTION ACTIVITIES.,UNKNOWN NUMBER OF PLANTS SEEN IN 1999 AND DURING SURVEYS SOMETIME PRIOR TO 2012. POPULATION MAY INCLUDE HYBRIDS.,UNKNOWN,12/12/2018 12:00:00 AM,White Ledge Peak (3411944),11,270337,3812315
67,Quercus dumosa,Nuttall's scrub oak,Dicots,PDFAG050D0,None,None,G3,S3,1B.1,USFS_S-Sensitive,192,113475,,,,N,U-Unknown,Presumed Extant,Specific bounded area with an 80 meter radius,10,Unknown,Natural/Native occurrence,Santa Barbara,Carpinteria (3411945),865,34.42453,-119.50793,Zone-11 N3812082 E269530,"T04N, R25W, Sec. 16, SW (S)","ALONG UNNAMED ROAD ABOVE FRANKLIN CREEK, ~1.5 AIR MILE WSW OF THE SUMMIT OF SNOWBALL MOUNTAIN, NORTH OF CARPENTERIA.",MAPPED ACCORDING TO BIORESOURCE CONSULTANTS MAPS FROM 2000 AND 2012. IN THE SE 1/4 OF THE SW 1/4 OF SECTION 16.,SCRUB OAK WOODLAND.,Development,POTENTIAL IMPACT FROM TOWER CONSTRUCTION ACTIVITIES.,UNKNOWN NUMBER OF PLANTS SEEN IN 1999 AND DURING SURVEYS SOMETIME PRIOR TO 2012. POPULATION MAY INCLUDE HYBRIDS.,UNKNOWN,12/6/2018 12:00:00 AM,Carpinteria (3411945),11,269530,3812082
68,Lasthenia glabrata ssp. coulteri,Coulter's goldfields,Dicots,PDAST5L0A1,None,None,G4T2,S2,1B.1,BLM_S-Sensitive | SB_RSABG-Rancho Santa Ana Botanic Garden | SB_SBBG-Santa Barbara Botanic Garden,122,114902,,20130324,20130324,N,U-Unknown,Presumed Extant,Specific bounded area,20,Unknown,Natural/Native occurrence,Santa Barbara,Carpinteria (3411945),25,34.40088,-119.5312,Zone-11 N3809511 E267325,"T04N, R25W, Sec. 29, W (S)","WEST OF SANTA MONICA CREEK AND SOUTH OF RAILROAD TRACKS, 0.5 AIR MI NE OF SAND POINT, CARPINTERIA SALT MARSH RESERVE.","MAPPED BY CNDDB BASED ON 2013 VEGCAMP COORDINATES. 1979 & 1981 FERREN COLLECTIONS DESCRIBE SITES AS ""IN MARSH NEAR BEACH"" AND ""INLAND MARGIN OF BARREN SALT FLATS ALONG MARSH EDGE OF ALLUVIAL FAN"".","ASSOCIATES INCLUDE ARTHROCNEMUM SUBTERMINALE, VICIA SATIVA, BROMUS DIANDRUS, LOLIUM MULTIFLORUM, MELILOTUS INDICUS, MEDICAGO X VARIA, DISTICHLIS, SALICORNIA PACIFICA, LIMONIUM CALIFORNICUM, FRANKENIA SALINA, PARAPHOLIS INCURVA, VULPIA, ETC.",Insufficient population/stand size | Altered flood/tidal/hydrologic regime,POTENTIALLY THREATENED BY CATASTROPHIC FLOODING AND FLOOD CONTROL ACTIVITIES. SITES ARE SMALL AND VULNERABLE.,"<1% COVER OF LASTHENIA SEEN DURING 2013 VEGETATION SURVEYS. 1979 FERREN COLLECTION FROM ""CENTRAL AREA [OF RESERVE] OFF NE SIDE OF SAND POINT RD"" AND 1981 COLLECTION FROM ""50 M W OF SANTA MONICA CREEK AND 20 M S OF RR"" ATTRIBUTED HERE.",UCNR-CARPINTERIA SALT MARSH,5/3/2019 12:00:00 AM,Carpinteria (3411945),11,267325,3809511
69,Calochortus fimbriatus,late-flowered mariposa-lily,Monocots,PMLIL0D1J2,None,None,G3,S3,1B.3,BLM_S-Sensitive | SB_SBBG-Santa Barbara Botanic Garden | USFS_S-Sensitive,2,737,27681,19630725,19630725,N,U-Unknown,Presumed Extant,Circular feature with a 1600 meter radius (1 mile),90,Unknown,Natural/Native occurrence,Ventura,Ojai (3411942),,34.43204,-119.21982,Zone-11 N3812296 E296029,"T04N, R22W (S)",BLACK MOUNTAIN.,MAPPED ON BLACK MOUNTAIN JUST SOUTHEAST OF OJAI.,BURN AREA.,,,"SITE BASED ON A 1963 COLLECTION CITED BY MAGNEY (COLLECTOR AND HERBARIUM UNKNOWN). AN 1895 MASTICK COLLECTION FROM ""UPPER PART OF OJAI VALLEY"" IS ALSO ATTRIBUTED TO THIS SITE. INCLUDES FORMER OCCURRENCE #3. NEEDS FIELDWORK.",UNKNOWN,7/18/2011 12:00:00 AM,Ojai (3411942),11,296029,3812296
70,Calochortus fimbriatus,late-flowered mariposa-lily,Monocots,PMLIL0D1J2,None,None,G3,S3,1B.3,BLM_S-Sensitive | SB_SBBG-Santa Barbara Botanic Garden | USFS_S-Sensitive,6,771,27678,,,N,U-Unknown,Presumed Extant,Circular feature with a 1300 meter radius (4/5 mile),80,Unknown,Natural/Native occurrence,Ventura,White Ledge Peak (3411944) | Old Man Mountain (3411954),3000,34.49232,-119.41547,Zone-11 N3819394 E278208,"T05N, R24W, Sec. 29 (S)",UPPER MURIETTA CANYON.,"TRIBUTARY TO MATILIJA CANYON, NORTHWEST OF MATILIJA.",,,,"ONLY SOURCE OF INFORMATION FOR THIS SITE IS AN ANONYMOUS, UNDATED COLLECTION CITED BY MAGNEY.",UNKNOWN,12/5/1995 12:00:00 AM,White Ledge Peak (3411944),11,278208,3819394
71,Calochortus fimbriatus,late-flowered mariposa-lily,Monocots,PMLIL0D1J2,None,None,G3,S3,1B.3,BLM_S-Sensitive | SB_SBBG-Santa Barbara Botanic Garden | USFS_S-Sensitive,4,772,27680,19631112,19631112,N,U-Unknown,Presumed Extant,Non-specific bounded area,30,Unknown,Natural/Native occurrence,Ventura,Matilija (3411943),,34.47581,-119.25548,Zone-11 N3817223 E292860,"T05N, R23W, Sec. 35, E (S)","PRATT CANYON TRAIL, STEWART CANYON, OJAI VALLEY.",EXACT LOCATION UNKNOWN. MAPPED BY CNDDB AS BEST GUESS ALONG THE PORTION OF PRATT TRAIL CLOSEST TO STEWART CANYON.,,,,SITE REPORTED FROM A 1944 POLLARD COLLECTION AND A 1963 OBSERVATION / COLLECTION. NEEDS FIELDWORK.,UNKNOWN,7/18/2011 12:00:00 AM,Matilija (3411943),11,292860,3817223
72,Calochortus fimbriatus,late-flowered mariposa-lily,Monocots,PMLIL0D1J2,None,None,G3,S3,1B.3,BLM_S-Sensitive | SB_SBBG-Santa Barbara Botanic Garden | USFS_S-Sensitive,5,773,27679,19460708,19460708,N,U-Unknown,Presumed Extant,Circular feature with a 1600 meter radius (1 mile),90,Unknown,Natural/Native occurrence,Ventura,Matilija (3411943),,34.46839,-119.30841,Zone-11 N3816510 E287979,"T05N, R23W, Sec. 32 (S)","NEAR KENNEDY CANYON, SANTA YNEZ MOUNTAINS.",MAPPED BY CNDDB AS BEST GUESS AROUND KENNEDY CANYON NORTHWEST OF OJAI.,GROWING IN A BURNED AREA.,,,SITE BASED ON TWO 1946 POLLARD COLLECTIONS. NEEDS FIELDWORK.,UNKNOWN,7/18/2011 12:00:00 AM,Matilija (3411943),11,287979,3816510
