"Scientific Name","Common Name","Family","Lifeform","CRPR","GRank","SRank","CESA","FESA","Blooming Period","Habitat","Micro Habitat","Elevation Low (m)","Elevation Low (ft)","Elevation High (m)","Elevation High (ft)","CA Endemic","States","Counties","Quads","EO Total","EO A","EO B","EO C","EO D","EO X","EO U","EO Historical","EO Recent","EO Extant","EO Possibly Extirpated","EO Extirpated","Notes","Full Scientific Name","Synonyms","Element Code","USDA PLANTS Symbol","Flora Status","CBR Reason","Date Added","Date Changed","Last Update",
"Eriogonum kennedyi var. alpigenum","southern alpine buckwheat","Polygonaceae","perennial herb","1B.3","G4T3","S3","None","None","Jul-Sep","Alpine boulder and rock field, Subalpine coniferous forest","granitic, gravelly","2600","8530","3500","11485","T","","LAX, SBD, VEN","San Gorgonio Mtn. (3411617), Forest Falls (3411618), Moonridge (3411627), Mount San Antonio (3411736), Crystal Lake (3411737), Sawmill Mountain (3411972)","9","2","2","0","0","0","5","4","5","9","0","0","Possibly threatened by foot traffic and recreational activities.  Potentially threatened by horticultural collecting.  See Bulletin of the Torrey Botanical Club 51:296 (1924) for original description, and Phytologia 66(4):326-327 (1989) for taxonomic treatment.","Eriogonum kennedyi Wats. var. alpigenum M. & J.","","PDPGN083B1","ERKEA","","","1994-01-01","","2010-03-15",
"Eriogonum kennedyi var. austromontanum","southern mountain buckwheat","Polygonaceae","perennial herb","1B.2","G4T2","S2","None","FT","Jun-Sep","Lower montane coniferous forest (gravelly), Pebble (Pavement) plain","","1770","5805","2890","9480","T","","SBD, VEN","Onyx Peak (3411626), Moonridge (3411627), Big Bear Lake (3411628), Rattlesnake Canyon (3411636), Big Bear City (3411637), Fawnskin (3411638), Butler Peak (3411731)","39","3","10","2","5","0","19","13","26","39","0","0","Threatened by vehicles, development, grazing, non-native plants, recreational activities, and road maintenance.  See Bulletin of the Torrey Botanical Club 51:295 (1924) for original description, and Phytologia 66(4):326-327 (1989) for taxonomic treatment.","Eriogonum kennedyi Wats. var. austromontanum M. & J.","","PDPGN083B2","ERKEA2","","","1974-01-01","","2010-03-15",
"Eriophyllum jepsonii","Jepson's woolly sunflower","Asteraceae","perennial herb","4.3","G3","S3","None","None","Apr-Jun","Chaparral, Cismontane woodland, Coastal scrub","sometimes serpentinite","200","655","1025","3365","T","","ALA, CCA, KRN, MNT, SBT, SCL, STA, VEN","Bradley (3512077), Calaveras Reservoir (3712147), Mendenhall Springs (3712156), La Costa Valley (3712157), Clayton (3712188), Clarksville (3812161)","","","","","","","","","","","","","","Eriophyllum jepsonii Greene","","PDAST3N040","ERJE","","","1974-01-01","","2010-03-15",
"Eriophyllum lanatum var. hallii","Fort Tejon woolly sunflower","Asteraceae","perennial herb","1B.1","G5T1","S1","None","None","May-Jul","Chaparral, Cismontane woodland","","1065","3490","1500","4920","T","","KRN, SBA","Lebec (3411877), Frazier Mtn. (3411878), Salisbury Potrero (3411976), Hurricane Deck (3411977)","6","1","3","1","0","0","1","2","4","6","0","0","Threatened by grazing and trampling.  See University of California Publications in Botany 18:94-96 (1937) for revised nomenclature.","Eriophyllum lanatum (Pursh) Forbes var. hallii Const.","","PDAST3N058","ERLAH","","","1974-01-01","","2019-05-07",
"Erysimum ammophilum","sand-loving wallflower","Brassicaceae","perennial herb","1B.2","G2","S2","None","None","Feb-Jun","Chaparral (maritime), Coastal dunes, Coastal scrub","sandy, openings","0","0","60","195","T","","MNT, SBA, SCR, SDG, SMI, SMT","Point Loma (3211762), Del Mar (3211782), Encinitas (3311713), San Luis Rey (3311723), Oceanside (3311724), Morro Hill (3311733), Las Pulgas Canyon (3311734), Santa Rosa Island East (3311988), Santa Rosa Island South (3312071), Santa Rosa Island North (3312081), Santa Rosa Island West (3312082), San Miguel Island East (3312083), Soberanes Point (3612148), Seaside (3612157), Salinas (3612166), Marina (3612167), Moss Landing (3612177), Watsonville West (3612187), Franklin Point (3712223)","58","0","6","1","0","4","47","31","27","54","4","0","Need quads for SRO Isl.  Occurrences from SDG Co. previously included in this species are E. capitatum ssp. capitatum.  Threatened by development.","Erysimum ammophilum Heller","","PDBRA16010","ERAM4","","","1974-01-01","","2010-03-15",
"Erysimum capitatum var. lompocense","San Luis Obispo wallflower","Brassicaceae","perennial herb","4.2","G5T3","S3","None","None","Feb-May","Chaparral, Coastal scrub","sandy","60","195","500","1640","T","","SBA, SLO","Los Alamos (3412063), Lompoc (3412064)","","","","","","","","","","","","","Intergrades locally with ssp. capitatum and E. insulare ssp. suffrutescens.","Erysimum capitatum (Douglas) Greene var. lompocense (Rossbach) Price","Erysimum suffrutescens var. lompocense","PDBRA16057","ERCAL2","","","1974-01-01","","2010-03-15",
"Erysimum suffrutescens","suffrutescent wallflower","Brassicaceae","perennial herb","4.2","G3","S3","None","None","Jan-Jul(Aug)","Coastal bluff scrub, Chaparral (maritime), Coastal dunes, Coastal scrub","","0","0","150","490","T","","LAX, SBA, SLO, VEN","Venice (3311884), Oceano (3512015), Morro Bay South (3512037)","","","","","","","","","","","","","Threatened by coastal development, vehicles, and non-native plants.  Includes E. suffrutescens var. grandifolium.  Hybridizes locally with E. capitatum.","Erysimum suffrutescens (Abrams) Rossbach","Erysimum suffrutescens var. suffrutescens, Erysimum suffrutescens var. grandifolium, Erysimum insulare ssp. suffrutescens","PDBRA160D2","ERINS","","","1980-01-01","","2010-11-29",
"Euphorbia misera","cliff spurge","Euphorbiaceae","perennial shrub","2B.2","G5","S2","None","None","Dec-Aug(Oct)","Coastal bluff scrub, Coastal scrub, Mojavean desert scrub","rocky","10","30","500","1640","F","BA, GU","LAX, ORA, RIV, SBA, SCM, SCT, SCZ, SDG","Otay Mesa (3211658), Imperial Beach (3211751), National City (3211761), Point Loma (3211762), La Jolla (3211772), Del Mar (3211782), San Clemente Island South (3211873), San Clemente Island Central (3211874), Desert Hot Springs (3311685), White Water (3311686), Encinitas (3311713), San Luis Rey (3311723), Oceanside (3311724), Dana Point (3311746), San Juan Capistrano (3311756), Laguna Beach (3311757), Santa Catalina North (3311844), Santa Cruz Island B (3311986)","40","2","3","6","2","1","26","14","26","39","0","1","Threatened by development and non-native plants.","Euphorbia misera Benth.","","PDEUP0Q1B0","EUMI4","","","1974-01-01","","2013-06-12",
"Frasera neglecta","pine green-gentian","Gentianaceae","perennial herb","4.3","G4","S4","None","None","May-Jul","Lower montane coniferous forest, Pinyon and juniper woodland, Upper montane coniferous forest","","1400","4590","2500","8200","T","","KRN, LAX, SBA, SBD, VEN","Big Bear City (3411637), Fawnskin (3411638), San Bernardino North (3411723), Butler Peak (3411731), Crystal Lake (3411737), Waterman Mtn. (3411738), Mescal Creek (3411746), Valyermo (3411747), Chilao Flat (3411831), Pacifico Mountain (3411841), Alamo Mountain (3411868), Lion Canyon (3411952), Lockwood Valley (3411961), San Guillermo (3411962), Big Pine Mtn. (3411966), Cuddy Valley (3411971), Sawmill Mountain (3411972)","","","","","","","","","","","","","Threatened by foot traffic, mining, recreational activities, road maintenance, and vehicles.  Possibly threatened by non-native plants.","Frasera neglecta H.M. Hall","Swertia neglectra","PDGEN05080","FRNE","","","1980-01-01","","2012-05-15",
"Fritillaria agrestis","stinkbells","Liliaceae","perennial bulbiferous herb","4.2","G3","S3","None","None","Mar-Jun","Chaparral, Cismontane woodland, Pinyon and juniper woodland, Valley and foothill grassland","Clay, sometimes serpentinite","10","30","1555","5100","T","","ALA, CCA, FRE, KRN, MEN, MER, MNT, MPA, PLA, SAC, SBA, SBT, SCL, SCR, SLO, SMT, STA, TUO, VEN, YUB","Lockwood Valley (3411961), Fox Mountain (3411975), Ballinger Canyon (3411984), Cuyama (3411985), Wells Ranch (3511916), Caliente Mtn. (3511917), San Luis Obispo (3512036), Camatta Ranch (3512043), Burnett Peak (3512172), Jolon (3512182), Slack Canyon (3612016), Joaquin Rocks (3612034), Hepsedam Peak (3612037), Idria (3612046), Cosio Knob (3612112), Hornitos (3712052), Coulterville (3712062), Penon Blanco Peak (3712063), Chinese Camp (3712074), Knights Ferry (3712076), Sonora (3712084), New Melones Dam (3712085), Pacheco Pass (3712112), La Costa Valley (3712157), Altamont (3712166), Byron Hot Springs (3712176), Brentwood (3712186), Antioch South (3712187), Ano Nuevo (3712213), Franklin Point (3712223), Citrus Heights (3812163), Rio Linda (3812164), Camp Far West (3912113)","32","2","9","8","0","2","11","32","0","30","2","0","Most populations small.  Threatened by development, grazing, and vehicles.  Possibly threatened by non-native plants.","Fritillaria agrestis Greene","","PMLIL0V010","FRAG","","","1980-01-01","","2013-08-21",
"Fritillaria ojaiensis","Ojai fritillary","Liliaceae","perennial bulbiferous herb","1B.2","G3","S3","None","None","Feb-May","Broadleafed upland forest (mesic), Chaparral, Cismontane woodland, Lower montane coniferous forest","rocky","225","735","998","3275","T","","MNT, SBA, SLO, VEN","Santa Paula Peak (3411941), Ojai (3411942), Matilija (3411943), White Ledge Peak (3411944), Carpinteria (3411945), Santa Barbara (3411946), Lion Canyon (3411952), Wheeler Springs (3411953), Little Pine Mtn. (3411956), San Marcos Pass (3411957), Lake Cachuma (3411958), Bald Mountain (3411978), Santa Ynez (3412051), Solvang (3412052), Zaca Lake (3412071), Tepusquet Canyon (3412082), Santa Margarita Lake (3512034), Lopez Mtn. (3512035), San Luis Obispo (3512036), Atascadero (3512046), Morro Bay North (3512047), Cypress Mountain (3512058), Pebblestone Shut-in (3512161), Burro Mountain (3512173), Alder Peak (3512183)","49","2","10","1","1","0","35","20","29","49","0","0","Possibly threatened by road maintenance and recreational activities.  Closely related to F. affinis.","Fritillaria ojaiensis A. Davids.","","PMLIL0V0N0","FROJ","","","1980-01-01","","2014-07-30",
"Fritillaria pinetorum","pine fritillary","Liliaceae","perennial bulbiferous herb","4.3","G4","S4","None","None","May-Jul(Sep)","Chaparral, Lower montane coniferous forest, Pinyon and juniper woodland, Subalpine coniferous forest, Upper montane coniferous forest","granitic or metamorphic","1735","5690","3300","10825","T","","ALP, FRE, KRN, LAX, MNO, SBD, TUL, VEN","Crystal Lake (3411737), Owens Peak (3511768), Tehachapi South (3511814), Emerald Mtn. (3511833), Walker Pass (3511861), Alta Sierra (3511865), Tobias Peak (3511875), Johnsondale (3511885), Crag Peak (3611812), Sentinel Peak (3611815), Casa Vieja Meadows (3611823), Moses Mtn. (3611836), Convict Lake (3711857)","","","","","","","","","","","","","Possibly threatened by wind energy development, logging, and vehicles.  Does plant occur in ALP Co.?  Can be confused with F. atropurpurea.  See Muhlenbergia 4:67 (1908) for original description.","Fritillaria pinetorum A. Davids.","","PMLIL0V0E0","FRPI","","","2001-01-01","","2015-01-07",
"Galium cliftonsmithii","Santa Barbara bedstraw","Rubiaceae","perennial herb","4.3","G4","S4","None","None","May-Jul","Cismontane woodland","","200","655","1220","4005","T","","LAX, MNT, SBA, SLO, VEN","","","","","","","","","","","","","","See Brittonia 10:183 (1958) for original description, and Flora of California 4(2):44 (1979) by L. Dempster for taxonomic treatment.","Galium cliftonsmithii (Dempster) Dempster & Steb.","","PDRUB0N0J0","GACL2","","","1974-01-01","","2010-03-15",
"Gilia latiflora ssp. cuyamensis","Cuyama gilia","Polemoniaceae","annual herb","4.3","G5?T4","S4","None","None","Apr-Jun","Pinyon and juniper woodland (sandy)","","595","1950","2000","6560","T","","KRN, LAX, SBA, SLO, VEN","Santiago Creek (3411983), Ballinger Canyon (3411984), Caliente Mtn. (3511917), Taylor Canyon (3511918), Chimineas Ranch (3511928)","","","","","","","","","","","","","Does this plant occur in SLO Co.?  See Aliso 3(3):270 (1956) for original description.","Gilia latiflora (Gray) Gray ssp. cuyamensis A. & V. Grant","","PDPLM040T2","GILAC2","","","1974-01-01","","2011-05-18",
"Gilia leptantha ssp. pinetorum","pine gilia","Polemoniaceae","annual herb","4.3","G4T4","S4","None","None","May-Jul","Lower montane coniferous forest (rocky or sandy)","","1500","4920","2800","9185","T","","KRN, SBA, SLO, VEN","","","","","","","","","","","","","","See Aliso 3(3):239 (1956) for original description.","Gilia leptantha Parish ssp. pinetorum A. & V. Grant","","PDPLM040W2","GILEP2","","","2001-01-01","","2010-03-15",
"Heterotheca sessiliflora ssp. sessiliflora","beach goldenaster","Asteraceae","perennial herb","1B.1","G4T2T3","S1","None","None","Mar-Dec","Chaparral (coastal), Coastal dunes, Coastal scrub","","0","0","1225","4020","F","BA","SBA, SDG","Imperial Beach (3211751), National City (3211761), Point Loma (3211762), La Jolla (3211772), Del Mar (3211782), Julian (3311615), Santa Ysabel (3311616), Rancho Santa Fe (3311712), Encinitas (3311713), Oxnard (3411922)","19","0","2","1","0","3","13","7","12","16","3","0","Need quad for Santa Barbara County.  See University of Waterloo Series 37: 1-164 for species account.","Heterotheca sessiliflora Nuttall ssp. sessiliflora","","PDAST4V0K2","HESES2","","","2008-05-27","","2019-05-07",
"Heuchera caespitosa","urn-flowered alumroot","Saxifragaceae","perennial rhizomatous herb","4.3","G3","S3","None","None","May-Aug","Cismontane woodland, Lower montane coniferous forest, Riparian forest (montane), Upper montane coniferous forest","rocky","1155","3785","2650","8695","T","","KRN, LAX, SBD, VEN","Moonridge (3411627), Keller Peak (3411721), Harrison Mtn. (3411722), Cucamonga Peak (3411725), Mt. Baldy (3411726), Azusa (3411728), Telegraph Peak (3411735), Mount San Antonio (3411736), Crystal Lake (3411737), Mt. Wilson (3411821), Chilao Flat (3411831), Sunland (3411833), Lion Canyon (3411952)","","","","","","","","","","","","","Threatened by foot traffic.","Heuchera caespitosa Eastw.","Heuchera elegans","PDSAX0E0C0","HECA36","","","1974-01-01","","2011-03-03",
"Hordeum intercedens","vernal barley","Poaceae","annual herb","3.2","G3G4","S3S4","None","None","Mar-Jun","Coastal dunes, Coastal scrub, Valley and foothill grassland (saline flats and depressions), Vernal pools","","5","15","1000","3280","F","BA","ANA, FRE, KNG, KRN, LAX, MER, MNO, NEV, ORA, RIV, SBA, SBR, SBT, SCM, SCT, SCZ, SDG, SMI, SMT, SNI, SRO, TUL, VEN","Potrero (3211655), Otay Mesa (3211658), Jamul Mountains (3211668), National City (3211761), Point Loma (3211762), La Mesa (3211771), La Jolla (3211772), Poway (3211781), Del Mar (3211782), San Clemente Island South (3211873), San Clemente Island Central (3211874), San Clemente Island North (3211885), Santa Ysabel (3311616), Encinitas (3311713), San Marcos (3311722), San Luis Rey (3311723), Morro Hill (3311733), Las Pulgas Canyon (3311734), San Onofre Bluff (3311735), Fallbrook (3311743), Margarita Peak (3311744), San Clemente (3311745), Dana Point (3311746), Murrieta (3311752), San Juan Capistrano (3311756), Laguna Beach (3311757), Winchester (3311761), Lake Elsinore (3311763), El Toro (3311766), Tustin (3311767), Newport Beach (3311768), Lakeview (3311771), Perris (3311772), Black Star Canyon (3311776), El Casco (3311781), Santa Catalina East (3311833), Santa Catalina South (3311834), Santa Catalina North (3311844), Santa Catalina West (3311845), Santa Barbara Island (3311848), Inglewood (3311883), Venice (3311884), San Nicolas Island (3311924), Anacapa Island (3311983), Santa Cruz Island D (3311984), Santa Cruz Island C (3311985), Santa Cruz Island B (3311986), Santa Cruz Island A (3311987), Santa Rosa Island East (3311988), Santa Rosa Island South (3312071), Los Angeles (3411812), Triunfo Pass (3411818), Canoga Park (3411825), Newbury Park (3411828), Whitaker Peak (3411856), Santa Barbara (3411946), Stevens (3511932), Pixley (3511983), Exeter (3611932), Vanguard (3611938), Monson (3611943), San Benito Mtn. (3612036), Ciervo Mtn. (3612045), San Felipe (3612184), Lee Vining (3711981), Stevinson (3712037), Soda Springs (3912034)","","","","","","","","","","","","","Move to CRPR 1B or 4?  Many herbarium specimens of H. intercedens are possible misidentifications of H. depressum; need annotations.  Many mainland occurrences are in decline or possibly extirpated; need field surveys.  Threatened by development, habitat loss, road construction, and non-native plants.  Previously confused with H. pusillum.  Similar to H. depressum; the two may hybridize in RIV Co.  See Acta Inst. Bot. Acad. Sci. U.R.S.S. Ser. 1, Fasc. 5:222 (1941) for original description and Nordic Journal of Botany 2:307-321 (1982) for taxonomic treatment.","Hordeum intercedens Nevski","","PMPOA380E0","HOIN2","","","1994-01-01","","2013-09-17",
"Horkelia cuneata var. puberula","mesa horkelia","Rosaceae","perennial herb","1B.1","G4T1","S1","None","None","Feb-Jul(Sep)","Chaparral (maritime), Cismontane woodland, Coastal scrub","sandy or gravelly","70","225","810","2655","T","","LAX, ORA, RIV, SBA, SBD, SDG, SLO, VEN","Cabazon (3311687), Beaumont (3311688), Pala (3311731), Pechanga (3311741), Temecula (3311742), Murrieta (3311752), Sitton Peak (3311754), Canada Gobernadora (3311755), Laguna Beach (3311757), Alberhill (3311764), Black Star Canyon (3311776), Redondo Beach (3311874), Venice (3311884), San Bernardino South (3411713), Fontana (3411714), Ontario (3411716), San Dimas (3411717), Baldwin Park (3411718), Cucamonga Peak (3411725), Mt. Baldy (3411726), Glendora (3411727), Azusa (3411728), Waterman Mtn. (3411738), El Monte (3411811), Los Angeles (3411812), Hollywood (3411813), Beverly Hills (3411814), Point Dume (3411817), Triunfo Pass (3411818), Mt. Wilson (3411821), Pasadena (3411822), Burbank (3411823), Calabasas (3411826), San Fernando (3411834), Simi (3411837), Ojai (3411942), Matilija (3411943), White Ledge Peak (3411944), Santa Barbara (3411946), Goleta (3411947), Dos Pueblos Canyon (3411948), Little Pine Mtn. (3411956), San Marcos Pass (3411957), Solvang (3412052), Lompoc Hills (3412054), Tranquillon Mtn. (3412055), Zaca Creek (3412062), Los Alamos (3412063), Lompoc (3412064), Surf (3412065), Sisquoc (3412073), Orcutt (3412074), Casmalia (3412075), Manzanita Mtn. (3412081), Miranda Pine Mtn. (3512011), Nipomo (3512014), Oceano (3512015), Tar Spring Ridge (3512024), Arroyo Grande NE (3512025), Pismo Beach (3512026), Port San Luis (3512027), San Luis Obispo (3512036), Morro Bay South (3512037), Atascadero (3512046), Templeton (3512056), Cypress Mountain (3512058), Cambria (3512151)","103","0","4","2","1","24","72","77","26","79","14","10","Many historical occurrences extirpated; need current information on status of occurrences.  Possibly threatened by habitat conversion.  Intergrades with other sspp.; populations representing true ssp. puberula declining.  See Pittonia 1:102 (1887) for original description, and Lloydia 1:87-88 (1938) and Novon 17(3):315-325 (2007) for revised nomenclature.","Horkelia cuneata Lindl. var. puberula (Rydb.) Ertter & Reveal","Horkelia cuneata ssp. puberula","PDROS0W045","","","","2001-01-01","","2012-05-30",
"Horkelia cuneata var. sericea","Kellogg's horkelia","Rosaceae","perennial herb","1B.1","G4T1?","S1?","None","None","Apr-Sep","Closed-cone coniferous forest, Chaparral (maritime), Coastal dunes, Coastal scrub","sandy or gravelly, openings","10","30","200","655","T","","ALA, MNT, MRN, SBA, SCR, SFO, SLO, SMT","Point Conception (3412044), Tranquillon Mtn. (3412055), Point Arguello (3412056), Lompoc (3412064), Surf (3412065), Orcutt (3412074), Casmalia (3412075), Guadalupe (3412085), Point Sal (3412086), Nipomo (3512014), Oceano (3512015), Morro Bay South (3512037), Santa Margarita (3512045), San Miguel (3512076), Cambria (3512151), Spreckels (3612156), Seaside (3612157), Monterey (3612158), Salinas (3612166), Marina (3612167), Prunedale (3612176), Watsonville West (3612187), Soquel (3612188), Felton (3712211), Davenport (3712212), Ano Nuevo (3712213), Half Moon Bay (3712244), Montara Mountain (3712254), San Francisco South (3712264), Oakland East (3712272), Oakland West (3712273), San Francisco North (3712274), Point Bonita (3712275), Drakes Bay (3812218)","58","0","2","1","0","3","52","49","9","55","3","0","Threatened by coastal development. Historical occurrences need field surveys. Occurrence from the Crocker Hills probably last remaining location in S.F. Bay; remaining plants less distinct from ssp. cuneata than those formerly occurring near San Francisco.  See Novon 17(3):315-325 (2007) for revised nomenclature.","Horkelia cuneata Lindl. var. sericea (A. Gray) Ertter & Reveal","Horkelia cuneata ssp. sericea","PDROS0W043","","","","1988-01-01","","2012-05-30",
"Horkelia yadonii","Santa Lucia horkelia","Rosaceae","perennial rhizomatous herb","4.2","G3","S3","None","None","Apr-Jul","Broadleafed upland forest, Chaparral, Cismontane woodland, Meadows and seeps, Riparian woodland","granitic, sandy","300","980","1900","6235","T","","MNT, SBA, SLO","Big Pine Mtn. (3411966), La Panza (3512032), Pozo Summit (3512033), Cypress Mountain (3512058), Burnett Peak (3512172), Jolon (3512182), Alder Peak (3512183), Cosio Knob (3612112), Junipero Serra Peak (3612124), Tassajara Hot Springs (3612125), Chews Ridge (3612135), Ventana Cones (3612136)","","","","","","","","","","","","","Possibly threatened by vehicles and recreational activities.  Confused with H. cuneata ssp. sericea, H. rydbergii, and H. tenuiloba.  See Systematic Botany 18(1):139 (1993) for original description.","Horkelia yadonii B. Ertter","","PDROS0W0K0","HOYA2","","","1994-01-01","","2010-03-15",
"Hulsea vestita ssp. gabrielensis","San Gabriel Mountains sunflower","Asteraceae","perennial herb","4.3","G5T3","S3","None","None","May-Jul","Lower montane coniferous forest, Upper montane coniferous forest","rocky","1500","4920","2500","8200","T","","LAX, SBD, VEN","Mount San Antonio (3411736), Crystal Lake (3411737), Waterman Mtn. (3411738), Chilao Flat (3411831), Condor Peak (3411832), Sunland (3411833), Pacifico Mountain (3411841), Agua Dulce (3411843), Alamo Mountain (3411868), Frazier Mtn. (3411878)","","","","","","","","","","","","","Possibly threatened by recreational activities, road construction, and  road maintenance.  See Madroño 24(1):48-55 (1977) for original description.","Hulsea vestita Gray ssp. gabrielensis Wilken","","PDAST4Z075","HUVEG","","","1994-01-01","","2010-03-15",
"Hulsea vestita ssp. parryi","Parry's sunflower","Asteraceae","perennial herb","4.3","G5T4","S4","None","None","Apr-Aug","Lower montane coniferous forest, Pinyon and juniper woodland, Upper montane coniferous forest","granitic or carbonate, rocky, openings","1370","4490","2895","9500","T","","KRN, LAX, MNO, SBD, VEN","Joshua Tree South (3411613), Yucca Valley South (3411614), San Gorgonio Mtn. (3411617), Onyx Peak (3411626), Moonridge (3411627), Big Bear Lake (3411628), Big Bear City (3411637), Fawnskin (3411638), Harrison Mtn. (3411722), Mint Canyon (3411844), Cuddy Valley (3411971), Old Mammoth (3711868)","","","","","","","","","","","","","Threatened by mining.  Possibly threatened by recreational activities. See Proceedings of the American Academy of Arts and Sciences 12:59 (1876) for original description, Aliso 7:413 (1972) for revised nomenclature, and Brittonia 27(3):228-244 (1975) for taxonomic treatment.","Hulsea vestita Gray ssp. parryi (Gray) Wilken","","PDAST4Z076","HUVEP","","","1994-01-01","","2010-03-15",
"Hypogymnia schizidiata","island rock lichen","Parmeliaceae","foliose lichen (null)","1B.3","G2","S1","None","None","","Closed-cone coniferous forest, Chaparral","On bark and wood of hardwoods and conifers","360","1180","405","1330","F","BA","MEN, MRN, SBA, SCZ, SMT, SRO","Santa Cruz Island B (3311986), Santa Rosa Island South (3312071), Santa Rosa Island North (3312081), Montara Mountain (3712254), San Francisco North (3712274), Inverness (3812217), Point Arena (3812386)","10","2","0","1","0","2","5","3","7","8","2","0","Often occurs on Juniperus, Pinus, Quercus, and Simmondsia.  See Bulletin of the California Lichen Society 13(2):42-44 (2006) for CALS Conservation Committee sponsorship.","Hypogymnia schizidiata McCune","","NLT0032640","","","","2014-03-01","","2018-05-15",
"Imperata brevifolia","California satintail","Poaceae","perennial rhizomatous herb","2B.1","G4","S3","None","None","Sep-May","Chaparral, Coastal scrub, Mojavean desert scrub, Meadows and seeps (often alkali), Riparian scrub","mesic","0","0","1215","3985","F","AZ, BA, NM, NV, SO, TX, UT","BUT, FRE, IMP, INY, KRN, LAK, LAX, ORA, RIV, SBD, TEH, TUL, VEN","Calexico (3211564), Heber (3211565), Blythe NE (3311465), McCoy Wash (3311466), Palm Springs (3311675), San Jacinto (3311678), White Water (3311686), Canada Gobernadora (3311755), Yucaipa (3411711), Redlands (3411712), Keller Peak (3411721), Harrison Mtn. (3411722), San Bernardino North (3411723), Glendora (3411727), Azusa (3411728), Condor Peak (3411832), Matilija (3411943), Wheeler Springs (3411953), Gosford (3511931), Furnace Creek (3611647), Nevares Peak (3611657), Panamint Butte (3611743), Craig Canyon (3611767), East of Tin Mountain (3611783), Visalia (3611933), Reedley (3611954), Wahtoke (3611964), Malaga (3611966), Fresno South (3611967), Piedra (3611974), Clovis (3611976), Fresno North (3611977), Scottys Castle (3711713), Whispering Pines (3812276), Clearlake Highlands (3812286), Paradise West (3912176), Richardson Springs (3912177), Campbell Mound (3912187)","32","0","0","0","1","0","31","25","7","32","0","0","Many collections old; need field surveys.  Records from BUT, THE, and LAK counties may represent escapes from ornamental plantings.  Threatened by development and agriculture.  Mistakenly classified as a noxious weed in California from 1960 to 2004.  See Bulletin of the Torrey Botanical Club 13: 26 (1886) for original description.","Imperata brevifolia Vasey","","PMPOA3D020","IMBR2","","","2006-12-26","","2013-06-12",
"Isocoma menziesii var. decumbens","decumbent goldenbush","Asteraceae","perennial shrub","1B.2","G3G5T2T3","S2","None","None","Apr-Nov","Chaparral, Coastal scrub (sandy, often in disturbed areas)","","10","30","135","445","F","BA","LAX, ORA, SCM, SCT, SDG, SNI, VEN","Potrero (3211655), Tecate (3211656), Otay Mountain (3211657), Otay Mesa (3211658), Live Oak Springs (3211663), Dulzura (3211667), Jamul Mountains (3211668), Descanso (3211675), Alpine (3211677), El Cajon (3211678), Cuyamaca Peak (3211685), San Vicente Reservoir (3211688), Imperial Beach (3211751), National City (3211761), Point Loma (3211762), La Mesa (3211771), La Jolla (3211772), Poway (3211781), Del Mar (3211782), San Clemente Island South (3211873), Escondido (3311711), Rancho Santa Fe (3311712), Encinitas (3311713), San Marcos (3311722), San Luis Rey (3311723), Oceanside (3311724), Las Pulgas Canyon (3311734), San Onofre Bluff (3311735), Margarita Peak (3311744), San Clemente (3311745), Laguna Beach (3311757), Santa Catalina East (3311833), Santa Catalina North (3311844), Santa Catalina West (3311845), Long Beach (3311872), San Nicolas Island (3311924), Malibu Beach (3411816)","126","2","14","3","3","2","102","38","88","124","1","1","Need quads for SCM and SCT islands.  Threatened by development.  Equals Haplopappus venetus ssp. furfuraceus, a synonym of I. menziesii var. menziesii in The Jepson Manual.  See Leaflets of Botanical Observation and Criticism 1:172 (1906) for original description, and Phytologia 70(2):69-114 (1991) for taxonomic treatment.","Isocoma menziesii (H. & A.) G. Nesom var. decumbens (Greene) G. Nesom","","PDAST57091","ISMED","","","1994-01-01","","2012-09-25",
"Juglans californica","Southern California black walnut","Juglandaceae","perennial deciduous tree","4.2","G4","S4","None","None","Mar-Aug","Chaparral, Cismontane woodland, Coastal scrub, Riparian woodland","alluvial","50","160","900","2955","T","","LAX, ORA, RIV, SBA, SBD, SDG, VEN","Sitton Peak (3311754), Lake Elsinore (3311763), Anaheim (3311778), El Casco (3311781), Prado Dam (3311786), Yorba Linda (3311787), La Habra (3311788), Whittier (3311881), Yucaipa (3411711), Ontario (3411716), Baldwin Park (3411718), San Bernardino North (3411723), Devore (3411724), Cucamonga Peak (3411725), Glendora (3411727), Cajon (3411734), El Monte (3411811), Hollywood (3411813), Topanga (3411815), Mt. Wilson (3411821), Burbank (3411823), Van Nuys (3411824), Condor Peak (3411832), San Fernando (3411834), Oat Mountain (3411835), Santa Susana (3411836), Newhall (3411845), Acton (3411846), Val Verde (3411846), Acton (3411846), Val Verde (3411846), Ojai (3411942), Matilija (3411943), White Ledge Peak (3411944)","","","","","","","","","","","","","Walnut forest is a much fragmented, rare, and declining vegetation community.  Threatened by urbanization, grazing, non-native plants, and possibly by lack of natural reproduction.  Possibly threatened by hybridization with horticultural varieties of walnut.  A synonym of J. californica var. californica in The Jepson Manual.  See Proceedings of the American Academy of Arts and Sciences 10:349 (1875) for original description, and Southern California Botanists Special Publication No. 3, pp. 42-54 (1990) for additional information.","Juglans californica Wats.","Juglans californica var. californica","PDJUG02020","JUCA","","","1994-01-01","","2015-07-23",
